LÔ-MÁ-JĪ,HÀN-JĪ,IA̍H-SÒ͘
Sui5-liu2,垂柳,142
Tsui2-liu2,水柳,142
Tsui2-liu2-a2,水柳仔,142
Tshiu7-m5,樹梅,143
Iuan7-m5,椵梅,143
Iong5-muai5,楊梅,143
Ng5-ki2,黃𣏌,143
Ng5-ku2,黃櫸,143
Jin5-ki2,仁𣏌,143
Tsui2-kho-a2,水柯仔,144
Tsui2-liu5-kho,水流柯,144
Tsui2-liu2-kho,水柳柯,144
Lat8-tsi2,栗子,144
Tshiah-kau2,赤校,145
Tshiah-liu5,赤鱗,145
Tua7-hioh8-kau2-lat8,大葉校栗,145
Kau2-lat8,校栗,145
Ang5-phe5-kua,紅皮柯,145
He2-sio-kua,火燒柯,145
Tshiah-kau2,赤校,145
Kau2-lat8,校栗,145
Iu5-hioh8-too7-a2,油葉杜仔,146
Tua7-hioh8-too7,大葉杜,146
Too7-a2,杜仔,146
Ang5-kau2-tsan,紅校櫕,146
Kau2-tsan,校櫕,146
Tshiah-ko,赤柯,146
Tua7-hioh8-too7-a2,大葉杜仔,146
Tua7-hioh8-kau2-lat8,大葉校栗,146
Too7-a2,杜仔,146
Kho-a2,柯仔,147
Ang5-bah-too7,紅肉杜,147
Kho-a2,柯仔,147
Peh8-kau2-tsan,白校櫕,147
Kho-si,柯絲,147
Tshiah-phe5-too7-a2,赤皮杜仔,148
Ang5-bah-too7,紅肉杜,148
Su-a2,€仔,148
Lim5-li5,淋漓,148
Tshiah-phe5,赤皮,148
Tsioh8-tsu,石櫧,148
Tshiah-kua,赤柯,148
Kau2-tsan,校櫕、九櫕,148
Kau2-tso5,九槽,148
Kau2-tsan,校櫕,149
Tiu5-a2,稠仔,149
Ang5-kau2-tsan,紅校櫕,149
Kau2-lat8,校栗,150
Mi5-lat8,棉栗,150
Peh8-kue-iu5,白鷄油,150
Tsioh8-phok,石博,150
Tsioh8-siap,石澁,150
Phoh-a2,粕仔,150
Phoh-a2-tshiu7,粕仔樹、朴仔樹,150
Suann-iunn5-mua5,山黃麻,150
Ang5-kue-iu5,紅鷄油,151
Kue-iu5,鷄油,151
Pho-lo5-bit8,波羅蜜,151
Lok8-a2-tshiu7,鹿仔樹,151
O3-gio5-tsi2,愛玉子,152
Gio5-tsi2,玉枳,152
Tsi2-a2,枳仔,152
Gu5-lin-pong5,牛乳房,152
Sann-khak,三麴,152
Tsiunn-linn-a2,漿乳仔,152
Lok8-png7,鹿飯,152
Bu5-hua-ko5,無花果,152
Tua7-phann3,大冇,152
Gu5-lin-tshiu7,牛乳樹,152
Ti-bu2-lin,猪母乳,152
Peh8-bah-tshing5,白肉榕,153
Bo7-tshau2,磨草,153
Khinn5-piah-tin5,扲壁藤,153
Hong-put-tong7,風不動,153
